generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 12446, addr  254
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 12446, addr  254
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 12446, addr  254
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 12446, addr  126
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 12446, addr  126
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample  6294, addr  126
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample  6294, addr  126
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample  6294, addr  126
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample  6294, addr  126
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 59242, addr    2
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 59242, addr    2
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 65435, addr    2
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 65435, addr    2
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 65435, addr    2
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 65435, addr    2
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 65435, addr  130
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 65435, addr  130
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 59045, addr  130
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 59045, addr  130
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 59045, addr  130
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 59045, addr  130
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 59045, addr  258
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 59045, addr  258
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 52904, addr  258
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 52904, addr  258
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 52904, addr  258
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 52904, addr  258
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 52904, addr  386
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 52904, addr  386
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 47248, addr  386
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 47248, addr  386
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 47248, addr  386
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 47248, addr  386
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 47248, addr  514
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 47248, addr  514
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 42295, addr  514
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 42295, addr  514
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 42295, addr  514
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 42295, addr  514
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 42295, addr  642
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 42295, addr  642
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 38236, addr  642
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 38236, addr  642
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 38236, addr  642
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 38236, addr  642
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 38236, addr  770
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 38236, addr  770
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 35225, addr  770
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 35225, addr  770
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 35225, addr  770
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 35225, addr  770
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 35225, addr  898
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 35225, addr  898
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 33379, addr  898
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 33379, addr  898
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 33379, addr  898
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 33379, addr  898
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 33379, addr 1020
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 33379, addr 1020
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 32770, addr 1020
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 32770, addr 1020
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 32770, addr 1020
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 32770, addr 1020
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 32770, addr  892
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 32770, addr  892
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 33438, addr  892
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 33438, addr  892
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 33438, addr  892
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 33438, addr  892
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 33438, addr  764
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 33438, addr  764
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 35341, addr  764
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 35341, addr  764
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 35341, addr  764
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 35341, addr  764
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 35341, addr  636
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 35341, addr  636
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 38403, addr  636
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 38403, addr  636
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 38403, addr  636
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 38403, addr  636
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 38403, addr  508
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 38403, addr  508
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 42509, addr  508
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 42509, addr  508
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 42509, addr  508
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 42509, addr  508
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 42509, addr  380
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 42509, addr  380
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 47499, addr  380
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 47499, addr  380
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 47499, addr  380
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 47499, addr  380
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 47499, addr  252
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 47499, addr  252
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 53183, addr  252
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 53183, addr  252
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 53183, addr  252
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 53183, addr  252
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 53183, addr  124
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 53183, addr  124
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 59341, addr  124
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample 59341, addr  124
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample 59341, addr  124
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample 59341, addr  124
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample  6195, addr    4
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample  6195, addr    4
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample   201, addr    4
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample   201, addr    4
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample   201, addr    4
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample   201, addr    4
generate_next 1, zero 0, step 00100000000000000000, ready 0, sample   201, addr  132
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample   201, addr  132
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample  6590, addr  132
generate_next 0, zero 0, step 00100000000000000000, ready 1, sample  6590, addr  132
generate_next 0, zero 0, step 00100000000000000000, ready 0, sample  6590, addr  132
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample  6590, addr  132
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample  6590, addr  132
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample  6590, addr  644
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample  6590, addr  644
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 27356, addr  644
generate_next 0, zero 0, step 10000000000000000000, ready 1, sample 27356, addr  644
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 27356, addr  644
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 27356, addr  644
generate_next 1, zero 0, step 10000000000000000000, ready 0, sample 27356, addr  890
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 27356, addr  890
generate_next 0, zero 0, step 10000000000000000000, ready 0, sample 32077, addr  890
