ready 1, sample15:8  17, state 1, idle 1, addr 269, en 0, wr_sample 111, index 0
ready 1, sample15:8  17, state 1, idle 1, addr 270, en 0, wr_sample 111, index 0
ready 0, sample15:8  17, state 1, idle 1, addr 270, en 0, wr_sample 111, index 0
ready 0, sample15:8  17, state 1, idle 1, addr 270, en 1, wr_sample 111, index 0
ready 0, sample15:8  17, state 1, idle 1, addr 270, en 0, wr_sample 111, index 0
ready 1, sample15:8  18, state 1, idle 1, addr 270, en 0, wr_sample 110, index 0
ready 1, sample15:8  18, state 1, idle 1, addr 271, en 0, wr_sample 110, index 0
ready 0, sample15:8  18, state 1, idle 1, addr 271, en 0, wr_sample 110, index 0
ready 0, sample15:8  18, state 1, idle 1, addr 271, en 1, wr_sample 110, index 0
ready 0, sample15:8  18, state 1, idle 1, addr 271, en 0, wr_sample 110, index 0
ready 1, sample15:8  20, state 1, idle 1, addr 271, en 0, wr_sample 108, index 0
ready 1, sample15:8  20, state 1, idle 1, addr 272, en 0, wr_sample 108, index 0
ready 0, sample15:8  20, state 1, idle 1, addr 272, en 0, wr_sample 108, index 0
ready 0, sample15:8  20, state 1, idle 1, addr 272, en 1, wr_sample 108, index 0
ready 0, sample15:8  20, state 1, idle 1, addr 272, en 0, wr_sample 108, index 0
ready 1, sample15:8  21, state 1, idle 1, addr 272, en 0, wr_sample 107, index 0
ready 1, sample15:8  21, state 1, idle 1, addr 273, en 0, wr_sample 107, index 0
ready 0, sample15:8  21, state 1, idle 1, addr 273, en 0, wr_sample 107, index 0
ready 0, sample15:8  21, state 1, idle 1, addr 273, en 1, wr_sample 107, index 0
ready 0, sample15:8  21, state 1, idle 1, addr 273, en 0, wr_sample 107, index 0
ready 1, sample15:8  22, state 1, idle 1, addr 273, en 0, wr_sample 106, index 0
ready 1, sample15:8  22, state 1, idle 1, addr 274, en 0, wr_sample 106, index 0
ready 0, sample15:8  22, state 1, idle 1, addr 274, en 0, wr_sample 106, index 0
ready 0, sample15:8  22, state 1, idle 1, addr 274, en 1, wr_sample 106, index 0
ready 0, sample15:8  22, state 1, idle 1, addr 274, en 0, wr_sample 106, index 0
ready 1, sample15:8  23, state 1, idle 1, addr 274, en 0, wr_sample 105, index 0
ready 1, sample15:8  23, state 1, idle 1, addr 275, en 0, wr_sample 105, index 0
ready 0, sample15:8  23, state 1, idle 1, addr 275, en 0, wr_sample 105, index 0
ready 0, sample15:8  23, state 1, idle 1, addr 275, en 1, wr_sample 105, index 0
ready 0, sample15:8  23, state 1, idle 1, addr 275, en 0, wr_sample 105, index 0
ready 1, sample15:8  25, state 1, idle 1, addr 275, en 0, wr_sample 103, index 0
ready 1, sample15:8  25, state 1, idle 1, addr 276, en 0, wr_sample 103, index 0
ready 0, sample15:8  25, state 1, idle 1, addr 276, en 0, wr_sample 103, index 0
ready 0, sample15:8  25, state 1, idle 1, addr 276, en 1, wr_sample 103, index 0
ready 0, sample15:8  25, state 1, idle 1, addr 276, en 0, wr_sample 103, index 0
ready 1, sample15:8  26, state 1, idle 1, addr 276, en 0, wr_sample 102, index 0
ready 1, sample15:8  26, state 1, idle 1, addr 277, en 0, wr_sample 102, index 0
ready 0, sample15:8  26, state 1, idle 1, addr 277, en 0, wr_sample 102, index 0
ready 0, sample15:8  26, state 1, idle 1, addr 277, en 1, wr_sample 102, index 0
ready 0, sample15:8  26, state 1, idle 1, addr 277, en 0, wr_sample 102, index 0
ready 1, sample15:8  27, state 1, idle 1, addr 277, en 0, wr_sample 101, index 0
ready 1, sample15:8  27, state 1, idle 1, addr 278, en 0, wr_sample 101, index 0
ready 0, sample15:8  27, state 1, idle 1, addr 278, en 0, wr_sample 101, index 0
ready 0, sample15:8  27, state 1, idle 1, addr 278, en 1, wr_sample 101, index 0
ready 0, sample15:8  27, state 1, idle 1, addr 278, en 0, wr_sample 101, index 0
ready 1, sample15:8  28, state 1, idle 1, addr 278, en 0, wr_sample 100, index 0
ready 1, sample15:8  28, state 1, idle 1, addr 279, en 0, wr_sample 100, index 0
ready 0, sample15:8  28, state 1, idle 1, addr 279, en 0, wr_sample 100, index 0
ready 0, sample15:8  28, state 1, idle 1, addr 279, en 1, wr_sample 100, index 0
ready 0, sample15:8  28, state 1, idle 1, addr 279, en 0, wr_sample 100, index 0
ready 1, sample15:8  30, state 1, idle 1, addr 279, en 0, wr_sample  98, index 0
