out: 0, 600, 1170, 1190, -7768, -15173, 1170, 1170
time    69, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    70, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    71, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    72, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    73, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    74, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    75, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    76, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    77, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    78, ready 0, out1      0, out2      0, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    79, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    80, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    81, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    82, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    83, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    84, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    85, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    86, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    87, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    88, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    89, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    90, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
time    91, ready 0, out1      0, out2    600, out3      0, out4      0, out5      0, out6      0, out7      0, out8      0
