update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  88, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  89, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  90, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  91, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  92, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  93, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  94, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  95, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  96, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  97, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  98, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain  99, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 100, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 101, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 102, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 103, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 104, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 105, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 106, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 107, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 108, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 109, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 110, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 111, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 112, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 113, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 114, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 115, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 116, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 117, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 118, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 119, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 120, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 121, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 122, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 123, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 124, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 125, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 126, note  1, vel 7f, decay_type 0
update 0, update_all 0, note_val 7f1d, control_val 0040, on 1, gain 127, note  1, vel 7f, decay_type 0
