beat 0, done 0, note  1, sample 16630, ready 1, enable 1
beat 0, done 0, note  1, sample 16630, ready 0, enable 1
beat 0, done 0, note  1, sample 17018, ready 0, enable 1
beat 0, done 0, note  1, sample 17018, ready 1, enable 1
beat 0, done 0, note  1, sample 17018, ready 0, enable 1
beat 0, done 0, note  1, sample 17445, ready 0, enable 1
beat 0, done 0, note  1, sample 17445, ready 1, enable 1
beat 0, done 0, note  1, sample 17445, ready 0, enable 1
beat 0, done 0, note  1, sample 17827, ready 0, enable 1
beat 0, done 0, note  1, sample 17827, ready 1, enable 1
beat 0, done 0, note  1, sample 17827, ready 0, enable 1
beat 0, done 0, note  1, sample 18204, ready 0, enable 1
beat 0, done 0, note  1, sample 18204, ready 1, enable 1
beat 0, done 0, note  1, sample 18204, ready 0, enable 1
beat 0, done 0, note  1, sample 18620, ready 0, enable 1
beat 0, done 0, note  1, sample 18620, ready 1, enable 1
beat 0, done 0, note  1, sample 18620, ready 0, enable 1
beat 0, done 0, note  1, sample 18991, ready 0, enable 1
beat 0, done 0, note  1, sample 18991, ready 1, enable 1
beat 0, done 0, note  1, sample 18991, ready 0, enable 1
beat 0, done 0, note  1, sample 19357, ready 0, enable 1
beat 0, done 0, note  1, sample 19357, ready 1, enable 1
beat 0, done 0, note  1, sample 19357, ready 0, enable 1
beat 0, done 0, note  1, sample 19761, ready 0, enable 1
beat 0, done 0, note  1, sample 19761, ready 1, enable 1
beat 0, done 0, note  1, sample 19761, ready 0, enable 1
beat 0, done 0, note  1, sample 20120, ready 0, enable 1
beat 0, done 0, note  1, sample 20120, ready 1, enable 1
beat 0, done 0, note  1, sample 20120, ready 0, enable 1
beat 0, done 0, note  1, sample 20514, ready 0, enable 1
beat 0, done 0, note  1, sample 20514, ready 1, enable 1
beat 0, done 0, note  1, sample 20514, ready 0, enable 1
beat 0, done 0, note  1, sample 20865, ready 0, enable 1
beat 0, done 0, note  1, sample 20865, ready 1, enable 1
beat 0, done 0, note  1, sample 20865, ready 0, enable 1
beat 0, done 0, note  1, sample 21212, ready 0, enable 1
beat 0, done 0, note  1, sample 21212, ready 1, enable 1
beat 0, done 0, note  1, sample 21212, ready 0, enable 1
beat 0, done 0, note  1, sample 21592, ready 0, enable 1
beat 0, done 0, note  1, sample 21592, ready 1, enable 1
beat 0, done 0, note  1, sample 21592, ready 0, enable 1
beat 0, done 0, note  1, sample 21930, ready 0, enable 1
beat 0, done 0, note  1, sample 21930, ready 1, enable 1
beat 0, done 0, note  1, sample 21930, ready 0, enable 1
beat 0, done 0, note  1, sample 22301, ready 0, enable 1
beat 0, done 0, note  1, sample 22301, ready 1, enable 1
beat 0, done 0, note  1, sample 22301, ready 0, enable 1
beat 0, done 0, note  1, sample 22631, ready 0, enable 1
beat 0, done 0, note  1, sample 22631, ready 1, enable 1
beat 0, done 0, note  1, sample 22631, ready 0, enable 1
