ready 0, sample 29832, state 0, idle 1, addr 256, en 0, wr_sample  11, index 0
ready 0, sample 28706, state 0, idle 1, addr 256, en 0, wr_sample  15, index 0
ready 1, sample 28706, state 0, idle 1, addr 256, en 0, wr_sample  15, index 0
ready 0, sample 28706, state 0, idle 1, addr 256, en 0, wr_sample  15, index 0
ready 0, sample 27411, state 0, idle 1, addr 256, en 0, wr_sample  20, index 0
ready 1, sample 27411, state 0, idle 1, addr 256, en 0, wr_sample  20, index 0
ready 0, sample 27411, state 0, idle 1, addr 256, en 0, wr_sample  20, index 0
ready 0, sample 25955, state 0, idle 1, addr 256, en 0, wr_sample  26, index 0
ready 1, sample 25955, state 0, idle 1, addr 256, en 0, wr_sample  26, index 0
ready 0, sample 25955, state 0, idle 1, addr 256, en 0, wr_sample  26, index 0
ready 0, sample 24346, state 0, idle 1, addr 256, en 0, wr_sample  32, index 0
ready 1, sample 24346, state 0, idle 1, addr 256, en 0, wr_sample  32, index 0
ready 0, sample 24346, state 0, idle 1, addr 256, en 0, wr_sample  32, index 0
ready 0, sample 22594, state 0, idle 1, addr 256, en 0, wr_sample  39, index 0
ready 1, sample 22594, state 0, idle 1, addr 256, en 0, wr_sample  39, index 0
ready 0, sample 22594, state 0, idle 1, addr 256, en 0, wr_sample  39, index 0
ready 0, sample 20709, state 0, idle 1, addr 256, en 0, wr_sample  47, index 0
ready 1, sample 20709, state 0, idle 1, addr 256, en 0, wr_sample  47, index 0
ready 0, sample 20709, state 0, idle 1, addr 256, en 0, wr_sample  47, index 0
ready 0, sample 18703, state 0, idle 1, addr 256, en 0, wr_sample  54, index 0
ready 1, sample 18703, state 0, idle 1, addr 256, en 0, wr_sample  54, index 0
ready 0, sample 18703, state 0, idle 1, addr 256, en 0, wr_sample  54, index 0
ready 0, sample 16586, state 0, idle 1, addr 256, en 0, wr_sample  63, index 0
ready 1, sample 16586, state 0, idle 1, addr 256, en 0, wr_sample  63, index 0
ready 0, sample 16586, state 0, idle 1, addr 256, en 0, wr_sample  63, index 0
ready 0, sample 14372, state 0, idle 1, addr 256, en 0, wr_sample  71, index 0
ready 1, sample 14372, state 0, idle 1, addr 256, en 0, wr_sample  71, index 0
ready 0, sample 14372, state 0, idle 1, addr 256, en 0, wr_sample  71, index 0
ready 0, sample 12074, state 0, idle 1, addr 256, en 0, wr_sample  80, index 0
ready 1, sample 12074, state 0, idle 1, addr 256, en 0, wr_sample  80, index 0
ready 0, sample 12074, state 0, idle 1, addr 256, en 0, wr_sample  80, index 0
ready 0, sample  9704, state 0, idle 1, addr 256, en 0, wr_sample  90, index 0
ready 1, sample  9704, state 0, idle 1, addr 256, en 0, wr_sample  90, index 0
ready 0, sample  9704, state 0, idle 1, addr 256, en 0, wr_sample  90, index 0
ready 0, sample  7277, state 0, idle 1, addr 256, en 0, wr_sample  99, index 0
ready 1, sample  7277, state 0, idle 1, addr 256, en 0, wr_sample  99, index 0
ready 0, sample  7277, state 0, idle 1, addr 256, en 0, wr_sample  99, index 0
ready 0, sample  4808, state 0, idle 1, addr 256, en 0, wr_sample 109, index 0
ready 1, sample  4808, state 0, idle 1, addr 256, en 0, wr_sample 109, index 0
ready 0, sample  4808, state 0, idle 1, addr 256, en 0, wr_sample 109, index 0
ready 0, sample  2310, state 0, idle 1, addr 256, en 0, wr_sample 118, index 0
ready 1, sample  2310, state 0, idle 1, addr 256, en 0, wr_sample 118, index 0
ready 0, sample  2310, state 0, idle 1, addr 256, en 0, wr_sample 118, index 0
ready 0, sample 63226, state 0, idle 1, addr 256, en 0, wr_sample 137, index 0
ready 0, sample 65335, state 0, idle 1, addr 256, en 0, wr_sample 128, index 0
ready 1, sample 65335, state 0, idle 1, addr 256, en 0, wr_sample 128, index 0
ready 0, sample 65335, state 0, idle 1, addr 256, en 0, wr_sample 128, index 0
ready 0, sample 62825, state 0, idle 1, addr 256, en 0, wr_sample 138, index 0
ready 1, sample 62825, state 0, idle 1, addr 256, en 0, wr_sample 138, index 0
ready 0, sample 62825, state 0, idle 1, addr 256, en 0, wr_sample 138, index 0
ready 0, sample 60331, state 0, idle 1, addr 256, en 0, wr_sample 148, index 0
ready 1, sample 60331, state 0, idle 1, addr 256, en 0, wr_sample 148, index 0
ready 0, sample 60331, state 0, idle 1, addr 256, en 0, wr_sample 148, index 0
ready 0, sample 57867, state 0, idle 1, addr 256, en 0, wr_sample 157, index 0
ready 1, sample 57867, state 0, idle 1, addr 256, en 0, wr_sample 157, index 0
ready 0, sample 57867, state 0, idle 1, addr 256, en 0, wr_sample 157, index 0
ready 0, sample 55449, state 0, idle 1, addr 256, en 0, wr_sample 167, index 0
ready 1, sample 55449, state 0, idle 1, addr 256, en 0, wr_sample 167, index 0
ready 0, sample 55449, state 0, idle 1, addr 256, en 0, wr_sample 167, index 0
ready 0, sample 53090, state 0, idle 1, addr 256, en 0, wr_sample 176, index 0
