rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0100, tx 1, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0101, tx 0, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0110, tx 0, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0111, tx 1, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 1000, tx 1, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 1001, tx 0, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 1010, tx 1, txdata 01100101, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 1010, tx 1, txdata 01100101, busy 0, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0000, tx 1, txdata 01100101, busy 0, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0000, tx 1, txdata 01100101, busy 1, ready 1
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0001, tx 0, txdata 00111001, busy 1, ready 1
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0001, tx 0, txdata 00111001, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0010, tx 1, txdata 00111001, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0011, tx 0, txdata 00111001, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0100, tx 0, txdata 00111001, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0100, tx 0, txdata 00111001, busy 1, ready 1
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0100, tx 0, txdata 00111001, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0101, tx 1, txdata 00111001, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0110, tx 1, txdata 00111001, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0111, tx 1, txdata 00111001, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 1000, tx 0, txdata 00111001, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 1001, tx 0, txdata 00111001, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 1010, tx 1, txdata 00111001, busy 1, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 1010, tx 1, txdata 00111001, busy 0, ready 0
rxstate 0001, rx 1, flag 0, rxdata 11000110, txstate 0000, tx 1, txdata 00111001, busy 0, ready 0
